datum,ort,meldung,status,jahr,id,lat,lon,coord_bin,region_id,timestamp,month,season,recent_sightings,days_since_last_sighting
20.04.2025,Vorderweißenbach,Wolfssichtung,Fotonachweis vorhanden,2025,1,48.55184555053711,14.218729019165039,"(48.67, 14.25)",8,2025-04-20,4,Spring,2,15
20.04.2025,Wallern an der Trattnach,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,2,48.23209762573242,13.946207046508789,"(48.33, 14.0)",4,2025-04-20,4,Spring,2,5
19.04.2025,Pabneukirchen,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,3,48.319297790527344,14.81700611114502,"(48.33, 14.75)",1,2025-04-19,4,Spring,0,73
15.04.2025,St.Oswald bei Freistadt,Wolfssichtung,Fotonachweis vorhanden,2025,4,48.20309066772461,13.683045387268066,"(48.33, 13.75)",4,2025-04-15,4,Spring,1,20
11.04.2025,Gaflenz,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,5,47.89495849609375,14.724047660827637,"(48.0, 14.75)",7,2025-04-11,4,Spring,0,91
09.04.2025,Leopoldschlag,Wolfssichtung,Fotonachweis vorhanden,2025,6,48.61591720581055,14.50361156463623,"(48.67, 14.5)",6,2025-04-09,4,Spring,0,52
05.04.2025,St.Martin im Mühlkreis,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,7,48.41541290283203,14.03884506225586,"(48.33, 14.0)",8,2025-04-05,4,Spring,2,3
04.04.2025,Ulrichsberg,Wolfssichtung,Fotonachweis vorhanden,2025,8,47.9760856628418,13.600279808044434,"(48.0, 13.5)",9,2025-04-04,4,Spring,2,25
02.04.2025,Bad Leonfelden,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,9,48.52265167236328,14.293068885803223,"(48.67, 14.25)",8,2025-04-02,4,Spring,2,27
27.03.2025,Oberhofen am Irrsee,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,10,47.95217514038086,13.30579948425293,"(48.0, 13.25)",5,2025-03-27,3,Spring,1,5
26.03.2025,Grieskirchen,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,11,48.23501205444336,13.826191902160645,"(48.33, 13.75)",4,2025-03-26,3,Spring,0,78
23.03.2025,Oberkappel,1 totes Reh,begutachtet - DNA-Probe: kein eindeutiges Ergebnis,2025,12,48.55284881591797,13.770484924316406,"(48.67, 13.75)",0,2025-03-23,3,Spring,0,89
23.03.2025,Aigen-Schlägl,1 totes Reh,begutachtet - DNA-Analyse: Wolf bestätigt,2025,13,48.644813537597656,13.96917724609375,"(48.67, 14.0)",0,2025-03-23,3,Spring,0,89
22.03.2025,Eberschwang,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,14,48.15569305419922,13.561890602111816,"(48.0, 13.5)",5,2025-03-22,3,Spring,0,77
16.03.2025,Rohrbach,1 totes Reh,begutachtet - DNA-Analyse: Wolf bestätigt,2025,15,48.21698760986328,14.351035118103027,"(48.33, 14.25)",3,2025-03-16,3,Spring,8,11
10.03.2025,Ulrichsberg,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,16,47.9760856628418,13.600279808044434,"(48.0, 13.5)",9,2025-03-10,3,Spring,2,5
06.03.2025,Gramastetten,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,17,48.3791618347168,14.191792488098145,"(48.33, 14.25)",8,2025-03-06,3,Spring,1,2
